country,date,incidence
Austria,2020-07-01,5.625
Austria,2020-07-02,6.552
Austria,2020-07-03,7.511
Austria,2020-07-04,8.07
Austria,2020-07-05,9.029
Austria,2020-07-06,10.004
Austria,2020-07-07,10.227
Austria,2020-07-08,10.531
Austria,2020-07-09,10.371
Austria,2020-07-10,10.739
Austria,2020-07-11,10.627
Austria,2020-07-12,10.163
Austria,2020-07-13,9.908
Austria,2020-07-14,9.524
Austria,2020-07-15,10.02
Austria,2020-07-16,10.531
Austria,2020-07-17,10.707
Austria,2020-07-18,11.809
Austria,2020-07-19,12.113
Austria,2020-07-20,11.969
Austria,2020-07-21,12.529
Austria,2020-07-22,12.385
Austria,2020-07-23,12.608
Austria,2020-07-24,13.136
Austria,2020-07-25,12.752
Austria,2020-07-26,13.216
Austria,2020-07-27,13.711
Austria,2020-07-28,13.935
Austria,2020-07-29,14.015
Austria,2020-07-30,14.27
Austria,2020-07-31,13.312
Austria,2020-08-01,14.478
Austria,2020-08-02,13.999
Austria,2020-08-03,13.2
Austria,2020-08-04,12.704
Austria,2020-08-05,12.672
Austria,2020-08-06,11.554
Austria,2020-08-07,12.465
Austria,2020-08-08,11.33
Austria,2020-08-09,10.803
Austria,2020-08-10,11.474
Austria,2020-08-11,11.506
Austria,2020-08-12,12.544
Austria,2020-08-13,14.206
Austria,2020-08-14,14.702
Austria,2020-08-15,16.811
Austria,2020-08-16,20.934
Austria,2020-08-17,21.765
Austria,2020-08-18,23.315
Austria,2020-08-19,24.897
Austria,2020-08-20,25.936
Austria,2020-08-21,28.445
Austria,2020-08-22,29.723
Austria,2020-08-23,28.956
Austria,2020-08-24,30.123
Austria,2020-08-25,30.506
Austria,2020-08-26,30.283
Austria,2020-08-27,31.066
Austria,2020-08-28,30.618
Austria,2020-08-29,28.908
Austria,2020-08-30,30.426
Austria,2020-08-31,30.554
Austria,2020-09-01,31.05
Austria,2020-09-02,30.666
Austria,2020-09-03,30.426
Austria,2020-09-04,32.184
Austria,2020-09-05,34.453
Austria,2020-09-06,34.214
Austria,2020-09-07,33.894
Austria,2020-09-08,36.179
Austria,2020-09-09,39.008
Austria,2020-09-10,43.258
Austria,2020-09-11,47.461
Austria,2020-09-12,51.153
Austria,2020-09-13,59.926
Austria,2020-09-14,63.074
Austria,2020-09-15,63.825
Austria,2020-09-16,70.601
Austria,2020-09-17,73.333
Austria,2020-09-18,75.922
Austria,2020-09-19,79.262
Austria,2020-09-20,78.399
Austria,2020-09-21,82.426
Austria,2020-09-22,83.337
Austria,2020-09-23,79.518
Austria,2020-09-24,79.454
Austria,2020-09-25,78.655
Austria,2020-09-26,76.29
Austria,2020-09-27,74.484
Austria,2020-09-28,73.285
Austria,2020-09-29,74.484
Austria,2020-09-30,76.993
Austria,2020-10-01,77.632
Austria,2020-10-02,78.431
Austria,2020-10-03,80.54
Austria,2020-10-04,84.567
Austria,2020-10-05,86.613
Austria,2020-10-06,89.681
Austria,2020-10-07,92.685
Austria,2020-10-08,97.751
Austria,2020-10-09,104.463
Austria,2020-10-10,109.56
Austria,2020-10-11,113.492
Austria,2020-10-12,118.206
Austria,2020-10-13,119.692
Austria,2020-10-14,123.144
Austria,2020-10-15,127.059
Austria,2020-10-16,129.648
Austria,2020-10-17,136.231
Austria,2020-10-18,144.765
Austria,2020-10-19,152.308
Austria,2020-10-20,158.156
Austria,2020-10-21,166.226
Austria,2020-10-22,176.693
Austria,2020-10-23,196.141
Austria,2020-10-24,223.468
Austria,2020-10-25,248.221
Austria,2020-10-26,271.936
Austria,2020-10-27,292.31
Austria,2020-10-28,310.416
Austria,2020-10-29,348.689
Austria,2020-10-30,377.645
Austria,2020-10-31,406.649
Austria,2020-11-01,444.554
Austria,2020-11-02,473.622
Austria,2020-11-03,505.615
Austria,2020-11-04,544.095
Austria,2020-11-05,575.896
Austria,2020-11-06,618.163
Austria,2020-11-07,648.606
Austria,2020-11-08,686.559
Austria,2020-11-09,695.092
Austria,2020-11-10,715.403
Austria,2020-11-11,732.31
Austria,2020-11-12,749.489
Austria,2020-11-13,782.408
Austria,2020-11-14,803.262
Austria,2020-11-15,786.084
Austria,2020-11-16,782.424
Austria,2020-11-17,764.302
Austria,2020-11-18,761.522
Austria,2020-11-19,762.864
Austria,2020-11-20,719.142
Austria,2020-11-21,692.727
Austria,2020-11-22,683.906
Austria,2020-11-23,684.817
Austria,2020-11-24,650.076
Austria,2020-11-25,626.665
Austria,2020-11-26,598.172
Austria,2020-11-27,581.457
Austria,2020-11-28,556.112
Austria,2020-11-29,520.54
Austria,2020-11-30,497.912
Austria,2020-12-01,497.161
Austria,2020-12-02,477.457
Austria,2020-12-03,448.693
Austria,2020-12-04,419.593
Austria,2020-12-05,397.812
Austria,2020-12-06,387.505
Austria,2020-12-07,373.618
Austria,2020-12-08,368.44
Austria,2020-12-09,354.633
Austria,2020-12-10,333.763
Austria,2020-12-11,316.409
Austria,2020-12-12,307.38
Austria,2020-12-13,295.267
Austria,2020-12-14,291.623
Austria,2020-12-15,298.639
Austria,2020-12-16,302.33
Austria,2020-12-17,304.359
Austria,2020-12-18,302.889
Austria,2020-12-19,284.672
Austria,2020-12-20,273.741
Austria,2020-12-21,255.62
Austria,2020-12-22,237.211
Austria,2020-12-23,226.903
Austria,2020-12-24,223.436
Austria,2020-12-25,230.691
Austria,2020-12-26,228.326
Austria,2020-12-27,214.471
Austria,2020-12-28,208.926
Austria,2020-12-29,214.407
Austria,2020-12-30,214.583
Austria,2020-12-31,221.358
Austria,2021-01-01,219.089
Austria,2021-01-02,222.285
Austria,2021-01-03,227.111
Austria,2021-01-04,234.702
Austria,2021-01-05,237.722
Austria,2021-01-06,240.566
Austria,2021-01-07,240.327
Austria,2021-01-08,230.435
Austria,2021-01-09,230.195
Austria,2021-01-10,241.365
Austria,2021-01-11,239.927
Austria,2021-01-12,231.937
Austria,2021-01-13,222.365
Austria,2021-01-14,209.373
Austria,2021-01-15,202.406
Austria,2021-01-16,195.135
Austria,2021-01-17,183.293
Austria,2021-01-18,179.698
Austria,2021-01-19,173.673
Austria,2021-01-20,172.523
Austria,2021-01-21,164.676
Austria,2021-01-22,166.067
Austria,2021-01-23,169.998
Austria,2021-01-24,168.24
Austria,2021-01-25,167.265
Austria,2021-01-26,166.146
Austria,2021-01-27,162.886
Austria,2021-01-28,161.608
Austria,2021-01-29,157.245
Austria,2021-01-30,151.317
Austria,2021-01-31,152.004
Austria,2021-02-01,149.335
Austria,2021-02-02,152.403
Austria,2021-02-03,149.207
Austria,2021-02-04,150.198
Austria,2021-02-05,150.949
Austria,2021-02-06,148.616
Austria,2021-02-07,146.714
Austria,2021-02-08,147.609
Austria,2021-02-09,145.42
Austria,2021-02-10,145.596
Austria,2021-02-11,142.815
Austria,2021-02-12,145.132
Austria,2021-02-13,149.783
Austria,2021-02-14,148.185
Austria,2021-02-15,148.44
Austria,2021-02-16,151.205
Austria,2021-02-17,155.376
Austria,2021-02-18,158.348
Austria,2021-02-19,162.024
Austria,2021-02-20,164.229
Austria,2021-02-21,177.444
Austria,2021-02-22,185.131
Austria,2021-02-23,185.93
Austria,2021-02-24,192.274
Austria,2021-02-25,197.228
Austria,2021-02-26,206.081
Austria,2021-02-27,209.021
Austria,2021-02-28,215.429
Austria,2021-03-01,224.474
Austria,2021-03-02,227.351
Austria,2021-03-03,231.985
Austria,2021-03-04,239.799
Austria,2021-03-05,238.952
Austria,2021-03-06,246.447
Austria,2021-03-07,250.554
Austria,2021-03-08,251.017
Austria,2021-03-09,259.775
Austria,2021-03-10,265.096
Austria,2021-03-11,264.393
Austria,2021-03-12,271.952
Austria,2021-03-13,283.106
Austria,2021-03-14,287.325
Austria,2021-03-15,291.895
Austria,2021-03-16,291.288
Austria,2021-03-17,295.203
Austria,2021-03-18,302.506
Austria,2021-03-19,312.941
Austria,2021-03-20,315.642
Austria,2021-03-21,325.677
Austria,2021-03-22,328.266
Austria,2021-03-23,336.624
Austria,2021-03-24,340.794
Austria,2021-03-25,351.485
Austria,2021-03-26,350.127
Austria,2021-03-27,349.935
Austria,2021-03-28,344.278
Austria,2021-03-29,343.495
Austria,2021-03-30,356.247
Austria,2021-03-31,352.604
Austria,2021-04-01,346.132
Austria,2021-04-02,345.349
Austria,2021-04-03,343.383
Austria,2021-04-04,343.591
Austria,2021-04-05,346.403
Austria,2021-04-06,331.989
Austria,2021-04-07,319.573
Austria,2021-04-08,314.97
Austria,2021-04-09,306.501
Austria,2021-04-10,297.009
Austria,2021-04-11,299.31
Austria,2021-04-12,285.663
Austria,2021-04-13,281.284
Austria,2021-04-14,284.784
Austria,2021-04-15,290.089
Austria,2021-04-16,287.98
Austria,2021-04-17,285.583
Austria,2021-04-18,268.196
Austria,2021-04-19,269.299
Austria,2021-04-20,268.596
Austria,2021-04-21,266.231
Austria,2021-04-22,255.907
Austria,2021-04-23,254.229
Austria,2021-04-24,256.467
Austria,2021-04-25,250.171
Austria,2021-04-26,247.949
Austria,2021-04-27,241.046
Austria,2021-04-28,238.265
Austria,2021-04-29,234.174
Austria,2021-04-30,226.728
Austria,2021-05-01,220.895
Austria,2021-05-02,215.925
Austria,2021-05-03,210.236
Austria,2021-05-04,202.629
Austria,2021-05-05,194.975
Austria,2021-05-06,186.09
Austria,2021-05-07,173.897
Austria,2021-05-08,162.263
Austria,2021-05-09,154.225
Austria,2021-05-10,146.571
Austria,2021-05-11,140.802
Austria,2021-05-12,132.716
Austria,2021-05-13,123.943
Austria,2021-05-14,117.583
Austria,2021-05-15,109.145
Austria,2021-05-16,101.011
Austria,2021-05-17,95.098
Austria,2021-05-18,91.599
Austria,2021-05-19,87.092
Austria,2021-05-20,82.106
Austria,2021-05-21,76.098
Austria,2021-05-22,73.03
Austria,2021-05-23,71.943
Austria,2021-05-24,69.13
Austria,2021-05-25,66.366
Austria,2021-05-26,62.738
Austria,2021-05-27,56.858
Austria,2021-05-28,56.874
Austria,2021-05-29,54.956
Austria,2021-05-30,52.719
Austria,2021-05-31,50.769
Austria,2021-06-01,50.45
Austria,2021-06-02,49.699
Austria,2021-06-03,49.954
Austria,2021-06-04,45.144
Austria,2021-06-05,42.172
Austria,2021-06-06,39.935
Austria,2021-06-07,38.992
Austria,2021-06-08,38.752
Austria,2021-06-09,37.921
Austria,2021-06-10,35.796
Austria,2021-06-11,35.508
Austria,2021-06-12,33.511
Austria,2021-06-13,32.136
Austria,2021-06-14,30.235
Austria,2021-06-15,26.911
Austria,2021-06-16,24.354
Austria,2021-06-17,21.541
Austria,2021-06-18,19.688
Austria,2021-06-19,18.17
Austria,2021-06-20,17.386
Austria,2021-06-21,15.804
Austria,2021-06-22,15.996
Austria,2021-06-23,15.277
Austria,2021-06-24,14.254
Austria,2021-06-25,13.104
Austria,2021-06-26,12.736
Austria,2021-06-27,12.225
Austria,2021-06-28,11.554
Austria,2021-06-29,10.883
Austria,2021-06-30,10.739
Austria,2021-07-01,10.579
Austria,2021-07-02,10.275
Austria,2021-07-03,10.275
Austria,2021-07-04,10.068
Austria,2021-07-05,10.1
Austria,2021-07-06,10.1
Austria,2021-07-07,10.259
Austria,2021-07-08,10.595
Austria,2021-07-09,11.682
Austria,2021-07-10,13.12
Austria,2021-07-11,14.302
Austria,2021-07-12,15.677
Austria,2021-07-13,17.45
Austria,2021-07-14,19.72
Austria,2021-07-15,22.053
Austria,2021-07-16,24.514
Austria,2021-07-17,26.975
Austria,2021-07-18,31.002
Austria,2021-07-19,33.91
Austria,2021-07-20,35.204
Austria,2021-07-21,36.643
Austria,2021-07-22,38.081
Austria,2021-07-23,39.951
Austria,2021-07-24,41.053
Austria,2021-07-25,39.647
Austria,2021-07-26,39.471
Austria,2021-07-27,40.286
Austria,2021-07-28,40.766
Austria,2021-07-29,43.706
Austria,2021-07-30,45.096
Austria,2021-07-31,46.87
Austria,2021-08-01,50.082
Austria,2021-08-02,51.6
Austria,2021-08-03,52.08
Austria,2021-08-04,52.671
Austria,2021-08-05,53.438
Austria,2021-08-06,53.294
Austria,2021-08-07,54.397
Austria,2021-08-08,54.86
Austria,2021-08-09,57.145
Austria,2021-08-10,58.584
Austria,2021-08-11,62.019
Austria,2021-08-12,66.478
Austria,2021-08-13,72.263
Austria,2021-08-14,78.127
Austria,2021-08-15,84.2
Austria,2021-08-16,88.499
Austria,2021-08-17,94.267
Austria,2021-08-18,98.422
Austria,2021-08-19,103.84
Austria,2021-08-20,110.759
Austria,2021-08-21,116.24
Austria,2021-08-22,121.594
Austria,2021-08-23,125.956
Austria,2021-08-24,128.929
Austria,2021-08-25,133.371
Austria,2021-08-26,139.875
Austria,2021-08-27,142.4
Austria,2021-08-28,143.886
Austria,2021-08-29,145.34
Austria,2021-08-30,149.175
Austria,2021-08-31,150.742
Austria,2021-09-01,152.755
Austria,2021-09-02,156.462
Austria,2021-09-03,158.14
Austria,2021-09-04,162.727
Austria,2021-09-05,171.564
Austria,2021-09-06,175.255
Austria,2021-09-07,180.209
Austria,2021-09-08,188.519
Austria,2021-09-09,195.694
Austria,2021-09-10,205.49
Austria,2021-09-11,215.829
Austria,2021-09-12,220.879
Austria,2021-09-13,225.066
Austria,2021-09-14,225.05
Austria,2021-09-15,225.801
Austria,2021-09-16,230.563
Austria,2021-09-17,232.976
Austria,2021-09-18,230.946
Austria,2021-09-19,227.447
Austria,2021-09-20,220.895
Austria,2021-09-21,220.096
Austria,2021-09-22,212.601
Austria,2021-09-23,204.755
Austria,2021-09-24,197.052
Austria,2021-09-25,190.74
Austria,2021-09-26,187.56
Austria,2021-09-27,186.873
Austria,2021-09-28,187.608
Austria,2021-09-29,190.98
Austria,2021-09-30,199.018
Austria,2021-10-01,200.408
Austria,2021-10-02,199.162
Austria,2021-10-03,198.81
Austria,2021-10-04,201.543
Austria,2021-10-05,201.303
Austria,2021-10-06,199.226
Austria,2021-10-07,200.184
